,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
215,Northern Arizona,33,18,15,.545,-6.18,-5.59,,8,10,,10,5,,7,8,,2503,2350,,1321,920,2023,.455,268,765,.350,395,598,.661,391,1244,492,201,51,336,528
216,Northern Colorado,35,25,10,.714,1.31,-3.63,,15,3,,13,2,,9,7,,2822,2545,,1415,1024,2019,.507,294,773,.380,480,663,.724,290,1205,552,214,82,386,610
217,Northern Illinois,31,6,25,.194,-16.46,-4.39,,2,16,,5,10,,1,15,,2199,2383,,1255,756,1843,.410,295,882,.334,392,556,.705,229,1018,388,190,110,355,612
218,Northern Iowa,33,20,13,.606,5.34,0.55,,14,6,,14,3,,5,6,,2418,2223,,1325,872,1792,.487,236,644,.366,438,630,.695,265,1090,459,196,99,348,484
219,Northern Kentucky,33,17,16,.515,-4.77,-3.13,,11,9,,12,6,,5,10,,2371,2377,,1340,852,1946,.438,258,772,.334,409,611,.669,374,1110,467,256,106,397,529
220,Northwestern,33,17,16,.515,14.45,11.18,,7,13,,12,5,,2,9,,2390,2282,,1340,860,1951,.441,222,667,.333,448,611,.733,361,1114,480,228,116,329,582
221,Northwestern State,32,16,16,.500,-5.13,-1.50,,12,8,,9,5,,6,10,,2146,2204,,1290,756,1756,.431,223,630,.354,411,575,.715,364,1120,407,218,136,421,500
222,Notre Dame,33,15,18,.455,7.21,7.06,,8,12,,11,5,,3,9,,2397,2392,,1355,851,1889,.451,251,708,.355,444,600,.740,329,1158,376,184,58,366,518
223,Oakland,34,16,18,.471,-2.66,-0.94,,11,9,,9,4,,6,11,,2402,2436,,1390,859,1968,.436,255,836,.305,429,614,.699,411,1203,439,223,102,406,545
224,Ohio,32,16,16,.500,-2.53,-4.27,,10,8,,12,3,,3,10,,2554,2449,,1290,899,1915,.469,275,769,.358,481,632,.761,261,1062,450,231,95,348,559
